utt_id	speaker	audio_path	text
Dung_000160	Dung	dataset/Dung/Recording (160).wav	đường lên đỉnh núi quanh co nhưng cảnh hai bên đẹp mê hồn
Dung_000016	Dung	dataset/Dung/Recording (16).wav	bạn có thể cho tôi mượn cây bút màu xanh một lát không
Dung_000043	Dung	dataset/Dung/Recording (43).wav	cậu bé chăm chỉ tưới cây mỗi chiều sau giờ tan học
Dung_000127	Dung	dataset/Dung/Recording (127).wav	hệ thống định vị toàn cầu giúp chúng ta xác định vị trí chính xác
Dung_000187	Dung	dataset/Dung/Recording (187).wav	con đường gốm sứ ven sông là điểm dạo bộ ưa thích của du khách
Dung_000163	Dung	dataset/Dung/Recording (163).wav	làng gốm cổ vẫn giữ nghề nặn và nung bình theo cách truyền thống
Dung_000048	Dung	dataset/Dung/Recording (48).wav	anh hãy nhớ tắt bếp gas sau khi nấu ăn xong
Dung_000111	Dung	dataset/Dung/Recording (111).wav	dữ liệu lớn cho phép doanh nghiệp đưa ra quyết định chính xác hơn
Dung_000006	Dung	dataset/Dung/Recording (6).wav	anh làm ơn chỉ giúp tôi đường ra bến xe gần nhất được không
Dung_000195	Dung	dataset/Dung/Recording (195).wav	tô cháo lòng nóng hổi rắc thêm hành lá và tiêu xay thơm lừng
Dung_000038	Dung	dataset/Dung/Recording (38).wav	ông chủ tiệm bánh luôn nở nụ cười thân thiện với khách
Dung_000123	Dung	dataset/Dung/Recording (123).wav	công nghệ in ba chiều mở ra khả năng chế tạo vật thể phức tạp
Dung_000013	Dung	dataset/Dung/Recording (13).wav	chúng tôi hẹn nhau đi xem phim vào tối thứ bảy tuần này
Dung_000037	Dung	dataset/Dung/Recording (37).wav	mưa rơi tí tách trên mái hiên suốt cả đêm qua
Dung_000154	Dung	dataset/Dung/Recording (154).wav	bát bún bò nóng hổi tỏa hương sả và ớt thơm nức mũi
Dung_000070	Dung	dataset/Dung/Recording (70).wav	ban tổ chức đã trao giải thưởng trị giá năm trăm triệu đồng cho đội chiến thắng
Dung_000062	Dung	dataset/Dung/Recording (62).wav	nhà máy mới sẽ tạo ra khoảng bảy nghìn việc làm cho người dân địa phương
Dung_000196	Dung	dataset/Dung/Recording (196).wav	người dân nơi đây sống chủ yếu bằng nghề trồng chè và dệt vải
Dung_000033	Dung	dataset/Dung/Recording (33).wav	tôi thường dậy sớm để nghe tiếng chim hót ngoài vườn
Dung_000173	Dung	dataset/Dung/Recording (173).wav	sáng nào bà cụ cũng gánh xôi ra đầu chợ bán cho người đi làm
Dung_000172	Dung	dataset/Dung/Recording (172).wav	đoàn du khách dừng chân chụp ảnh bên cánh đồng hoa tam giác mạch
Dung_000061	Dung	dataset/Dung/Recording (61).wav	lượng mưa trong hai ngày qua đã lên tới ba trăm milimét gây ngập nhiều nơi
Dung_000011	Dung	dataset/Dung/Recording (11).wav	tôi vừa pha một ấm trà xanh thơm ngát mời cả nhà cùng uống
Dung_000145	Dung	dataset/Dung/Recording (145).wav	bộ dữ liệu huấn luyện càng sạch thì mô hình dự đoán càng chính xác
Dung_000161	Dung	dataset/Dung/Recording (161).wav	chợ đêm bày bán đủ loại quà lưu niệm và đồ ăn vặt hấp dẫn
Dung_000053	Dung	dataset/Dung/Recording (53).wav	đội tuyển bóng đá quốc gia đã giành chiến thắng với tỉ số ba không
Dung_000126	Dung	dataset/Dung/Recording (126).wav	điện thoại thông minh ngày nay mạnh hơn nhiều máy tính của vài chục năm trước
Dung_000107	Dung	dataset/Dung/Recording (107).wav	ánh sáng mặt trời là nguồn năng lượng quan trọng cho sự sống trên trái đất
Dung_000074	Dung	dataset/Dung/Recording (74).wav	tập đoàn công nghệ thông báo lợi nhuận tăng mười lăm phần trăm so với năm ngoái
Dung_000114	Dung	dataset/Dung/Recording (114).wav	robot công nghiệp có thể lắp ráp sản phẩm với độ chính xác rất cao
Dung_000106	Dung	dataset/Dung/Recording (106).wav	mỗi tế bào trong cơ thể đều mang thông tin di truyền riêng biệt
Dung_000096	Dung	dataset/Dung/Recording (96).wav	lễ trao giải diễn ra trang trọng với sự chứng kiến của hàng trăm khách mời
Dung_000104	Dung	dataset/Dung/Recording (104).wav	bộ xử lý đồ họa giúp tăng tốc quá trình tính toán trong học sâu
Dung_000146	Dung	dataset/Dung/Recording (146).wav	kính hiển vi điện tử cho phép quan sát những cấu trúc vô cùng nhỏ
Dung_000044	Dung	dataset/Dung/Recording (44).wav	tôi mượn chiếc thang để hái mấy quả xoài chín trên cao
Dung_000001	Dung	dataset/Dung/Recording.wav	hôm nay trời nắng đẹp nên tôi quyết định đi bộ ra công viên
Dung_000162	Dung	dataset/Dung/Recording (162).wav	ly cà phê sữa đá buổi sáng là thói quen khó bỏ của nhiều người
Dung_000193	Dung	dataset/Dung/Recording (193).wav	quán nhỏ ven đường phục vụ món ốc luộc chấm mắm gừng cay nồng
Dung_000017	Dung	dataset/Dung/Recording (17).wav	căn bếp thơm mùi hành phi khiến ai cũng thấy đói bụng
Dung_000081	Dung	dataset/Dung/Recording (81).wav	thị trường chứng khoán phiên hôm nay ghi nhận mức tăng gần mười hai điểm
Dung_000103	Dung	dataset/Dung/Recording (103).wav	để huấn luyện mạng nơ ron chúng ta cần một lượng dữ liệu đủ lớn và đa dạng
Dung_000039	Dung	dataset/Dung/Recording (39).wav	tôi đã gói xong quà sinh nhật để tặng cho em gái
Dung_000157	Dung	dataset/Dung/Recording (157).wav	buổi chiều cả nhóm ngồi trên bãi cát ngắm thuyền câu trở về
Dung_000177	Dung	dataset/Dung/Recording (177).wav	cả nhà cùng gói bánh chưng bên bếp lửa hồng đêm giao thừa
Dung_000136	Dung	dataset/Dung/Recording (136).wav	bộ giải mã chuyển chuỗi tín hiệu số thành âm thanh mà tai người nghe được
Dung_000079	Dung	dataset/Dung/Recording (79).wav	chương trình học bổng năm nay dành cho một nghìn sinh viên xuất sắc trên cả nước
Dung_000116	Dung	dataset/Dung/Recording (116).wav	sóng âm truyền trong không khí với vận tốc khoảng ba trăm bốn mươi mét mỗi giây
Dung_000020	Dung	dataset/Dung/Recording (20).wav	trẻ con trong xóm rủ nhau thả diều trên cánh đồng lộng gió
Dung_000015	Dung	dataset/Dung/Recording (15).wav	xin lỗi tôi đến muộn vì đường phố hôm nay kẹt xe rất nặng
Dung_000178	Dung	dataset/Dung/Recording (178).wav	tiệm bánh ngọt bày biện đủ màu sắc bắt mắt trong tủ kính
Dung_000147	Dung	dataset/Dung/Recording (147).wav	năng lượng gió được khai thác nhờ những tua bin khổng lồ ngoài khơi
Dung_000180	Dung	dataset/Dung/Recording (180).wav	món cơm tấm sườn nướng ăn kèm bì và chả trứng rất đầy đặn
Dung_000066	Dung	dataset/Dung/Recording (66).wav	lễ hội âm nhạc kéo dài ba ngày quy tụ hơn hai mươi nghệ sĩ nổi tiếng
Dung_000085	Dung	dataset/Dung/Recording (85).wav	cầu vượt mới giúp giảm đáng kể tình trạng ùn tắc tại nút giao trọng điểm
Dung_000166	Dung	dataset/Dung/Recording (166).wav	người dân địa phương rất hiếu khách và luôn nở nụ cười thân thiện
Dung_000047	Dung	dataset/Dung/Recording (47).wav	chiếc khăn len bà đan giữ ấm cho tôi suốt mùa đông
Dung_000105	Dung	dataset/Dung/Recording (105).wav	thuật toán học máy tìm ra quy luật ẩn bên trong tập dữ liệu
Dung_000080	Dung	dataset/Dung/Recording (80).wav	sản lượng lúa vụ đông xuân ước tính đạt hơn hai mươi triệu tấn
Dung_000055	Dung	dataset/Dung/Recording (55).wav	hội chợ triển lãm năm nay thu hút hơn năm mươi nghìn lượt khách tham quan
Dung_000197	Dung	dataset/Dung/Recording (197).wav	buổi sáng cao nguyên phủ đầy sương mù trắng xóa như trong tranh
Dung_000086	Dung	dataset/Dung/Recording (86).wav	theo dự báo thời tiết cuối tuần trời sẽ chuyển lạnh và có mưa rào rải rác
Dung_000119	Dung	dataset/Dung/Recording (119).wav	động cơ điện thân thiện với môi trường hơn động cơ dùng nhiên liệu hóa thạch
Dung_000110	Dung	dataset/Dung/Recording (110).wav	pin mặt trời chuyển đổi năng lượng ánh sáng trực tiếp thành điện năng
Dung_000134	Dung	dataset/Dung/Recording (134).wav	một chiếc vệ tinh nhân tạo bay quanh trái đất ở độ cao hàng trăm ki lô mét
Dung_000143	Dung	dataset/Dung/Recording (143).wav	mạng lưới điện thông minh tự động điều chỉnh nguồn cung theo nhu cầu sử dụng
Dung_000034	Dung	dataset/Dung/Recording (34).wav	chiếc đồng hồ treo tường đã chạy chậm mất mười phút
Dung_000019	Dung	dataset/Dung/Recording (19).wav	chị hãy để túi hành lý ở đây rồi vào phòng nghỉ ngơi
Dung_000141	Dung	dataset/Dung/Recording (141).wav	việc cập nhật phần mềm thường xuyên giúp vá các lỗ hổng bảo mật
Dung_000124	Dung	dataset/Dung/Recording (124).wav	một giọt nước chứa vô số phân tử nhỏ bé mà mắt thường không thấy
Dung_000176	Dung	dataset/Dung/Recording (176).wav	đặc sản miền tây là lẩu mắm ăn kèm hàng chục loại rau đồng
Dung_000064	Dung	dataset/Dung/Recording (64).wav	tuyến đường sắt đô thị dự kiến hoàn thành vào cuối năm hai nghìn không trăm ba mươi
Dung_000084	Dung	dataset/Dung/Recording (84).wav	hội nghị quốc tế lần này có sự tham dự của đại biểu từ bốn mươi quốc gia
Dung_000149	Dung	dataset/Dung/Recording (149).wav	quá trình bay hơi làm mát bề mặt nước khi nhiệt độ môi trường tăng
Dung_000101	Dung	dataset/Dung/Recording (101).wav	trí tuệ nhân tạo đang dần thay đổi cách con người làm việc và học tập
Dung_000156	Dung	dataset/Dung/Recording (156).wav	đặc sản của vùng này là bánh xèo giòn rụm ăn kèm rau sống
Dung_000073	Dung	dataset/Dung/Recording (73).wav	hàng nghìn người đã tham gia buổi lễ khai mạc tại quảng trường trung tâm
