utt_id	speaker	audio_path	text
Dung_000040	Dung	examples/Dung_000040.wav	đèn giao thông chuyển sang màu đỏ nên mọi người dừng lại
Dung_000037	Dung	examples/Dung_000037.wav	mưa rơi tí tách trên mái hiên suốt cả đêm qua
Dung_000046	Dung	examples/Dung_000046.wav	gia đình tôi có thói quen ăn tối cùng nhau lúc bảy giờ
Khoi_000140	Khoi	examples/Khoi_000140.wav	bạn có thể giúp tôi kiểm tra lại lịch trình ngày mai không tôi muốn đảm bảo không bị trùng lịch
Khoi_000094	Khoi	examples/Khoi_000094.wav	tôi vừa thử một phương pháp tập trung mới tắt hết thông báo điện thoại để tránh bị phân tâm khi làm việc
Khoi_000035	Khoi	examples/Khoi_000035.wav	bạn nhớ nhắc tôi thanh toán hóa đơn điện nước trước ngày hai mươi lăm hàng tháng nhé nếu không sẽ bị tính thêm phí khá phiền
Quan_000155	Quan	examples/Quan_000155.wav	bạn cho mình hỏi một chút từ đây đi đến bảo tàng mỹ thuật thành phố thì nên bắt tuyến xe buýt số bao nhiêu và giá vé mỗi lượt đi là bảy nghìn đồng hay tám nghìn đồng vậy
Quan_000196	Quan	examples/Quan_000196.wav	bạn hãy lấy cho mình một cốc cà phê đen đá không đường và một đĩa hướng dương à tiện thể cho mình xin thêm một tờ giấy ăn và một cốc nước lọc đá nhé mình cám ơn
Quan_000034	Quan	examples/Quan_000034.wav	nếu bạn không phiền thì có thể cho mình mượn cuốn sách này vài ngày được không mình đang cần tìm thêm tài liệu tham khảo để viết bài luận văn tốt nghiệp nộp vào tuần tới
Trung_000126	Trung	examples/Trung_000126.wav	cầu vồng bắc ngang bầu trời sau cơn mưa mùa hạ
Trung_000105	Trung	examples/Trung_000105.wav	việc trồng thêm cây xanh giúp không khí thành phố trong lành hơn
Trung_000133	Trung	examples/Trung_000133.wav	những vườn rau hữu cơ ngày càng được nhiều gia đình ưa chuộng
